what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.services,3.2.2.R32x_v201102011435,"org.eclipse.rse.services",1453717086200
started,bundle,org.eclipse.rse.core,3.1.102.R32x_v201102011435,"org.eclipse.rse.core",1453717086229
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1453717086294
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1453717086295
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1453717086304
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1453717086325
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1453717086326
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1453717086381
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1453717086385
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1453717086451
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1453717086452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1453717135857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453717166803
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453717182275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453717474148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453717478153
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1453717495743
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1453717495754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453717496501
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1453717496510
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1453717507664
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1453717510282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453717523081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453717524714
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1453717524863
